network_order;average_v-1_a0;average_v0_a-1;average_v0_a0;average_v0_a1;average_v1_a0;bitwise_and;bitwise_or
(a);0.91710;0.91710;0.91710;0.02353;nan;0.91710;0.90769
(b);0.92746;0.92746;0.92746;0.02357;nan;0.92746;0.91795
(c);0.94681;0.94681;0.94681;0.02345;nan;0.94681;0.93684
(d);0.93194;0.93194;0.93194;0.02354;nan;0.93194;0.92228
(e);0.94211;0.94211;0.94211;0.02368;nan;0.94211;0.94211
(a)>(b);0.87192;0.87192;0.87192;0.10706;0.98387;0.97283;0.85922
(a)>(c);0.88889;0.88889;0.88889;0.10198;0.99454;0.97297;0.88000
(a)>(d);0.88889;0.88889;0.88889;0.11711;0.98361;0.96216;0.87562
(a)>(e);0.89950;0.89950;0.89950;0.10775;0.98907;0.96216;0.89055
(b)>(c);0.89744;0.89744;0.89744;0.09109;0.98387;0.96277;0.87940
(b)>(d);0.89340;0.89340;0.89340;0.09922;0.98907;0.96237;0.87562
(b)>(e);0.88832;0.88832;0.88832;0.10529;1.00000;0.97838;0.87940
(c)>(d);0.90625;0.90625;0.90625;0.09940;0.97849;0.96277;0.89231
(c)>(e);0.91237;0.91237;0.91237;0.09449;0.98907;0.96774;0.90306
(d)>(e);0.90769;0.90769;0.90769;0.11971;0.96791;0.96277;0.89848
(a)>(b)>(c);0.84729;0.97326;0.97283;0.93684;0.99451;0.97838;0.83333
(a)>(b)>(d);0.84951;0.97283;0.96757;0.92632;0.98378;0.96774;0.83732
(a)>(b)>(e);0.85714;0.97312;0.97268;0.92670;1.00000;0.98361;0.84689
(a)>(c)>(d);0.85572;0.97283;0.96196;0.93651;0.97838;0.97312;0.85294
(a)>(c)>(e);0.85714;0.98907;0.97268;0.94681;0.97826;0.96774;0.86341
(a)>(d)>(e);0.87065;0.97297;0.96739;0.94149;0.98361;0.96757;0.86341
(b)>(c)>(d);0.86500;0.97826;0.96757;0.92188;0.97861;0.96296;0.85294
(b)>(c)>(e);0.85644;0.98361;0.97826;0.95213;0.99454;0.97838;0.84804
(b)>(d)>(e);0.86139;0.97802;0.96721;0.94624;0.98913;0.97838;0.85366
(c)>(d)>(e);0.88325;0.97283;0.96237;0.94681;0.97849;0.97312;0.87879
(a)>(b)>(c)>(d);0.82609;0.96216;0.95161;0.90722;0.97814;0.97326;0.81905
(a)>(b)>(c)>(e);0.82297;0.96791;0.95699;0.92670;0.97826;0.97838;0.82160
(a)>(b)>(d)>(e);0.83173;0.96757;0.95676;0.92632;0.97268;0.98370;0.82547
(a)>(c)>(d)>(e);0.84804;0.97297;0.96216;0.92670;0.97814;0.97312;0.84541
(b)>(c)>(d)>(e);0.83902;0.96739;0.95161;0.92670;0.97297;0.97326;0.83173
(a)>(b)>(c)>(d)>(e);0.94149;0.98343;0.96739;0.95161;0.97826;0.98378;0.80841
