network_order;average_v-1_a0;average_v0_a-1;average_v0_a0;average_v0_a1;average_v1_a0;bitwise_and;bitwise_or
(a);0.02073;0.02073;0.02073;0.00000;nan;0.02073;0.02073
(b);0.01036;0.01036;0.01036;0.00000;nan;0.01036;0.01036
(c);0.02128;0.02128;0.02128;0.00000;nan;0.02128;0.02128
(d);0.02094;0.02094;0.02094;0.00000;nan;0.02094;0.02094
(e);0.01053;0.01053;0.01053;0.00000;nan;0.01053;0.01053
(a)>(b);0.02463;0.02463;0.02463;0.00060;0.00000;0.00543;0.02463
(a)>(c);0.02525;0.02525;0.02525;0.00170;0.00546;0.01622;0.02525
(a)>(d);0.02525;0.02525;0.02525;0.00263;0.01639;0.02162;0.02525
(a)>(e);0.02010;0.02010;0.02010;0.00182;0.01093;0.01622;0.02010
(b)>(c);0.02051;0.02051;0.02051;0.00101;0.00000;0.01064;0.02051
(b)>(d);0.02030;0.02030;0.02030;0.00111;0.00000;0.01075;0.02030
(b)>(e);0.02030;0.02030;0.02030;0.00000;0.00000;0.00000;0.02030
(c)>(d);0.03125;0.03125;0.03125;0.00110;0.00538;0.01064;0.03125
(c)>(e);0.01546;0.01546;0.01546;0.00157;0.00546;0.01613;0.01546
(d)>(e);0.02051;0.02051;0.02051;0.00132;0.01070;0.01064;0.02051
(a)>(b)>(c);0.02956;0.00535;0.00543;0.02105;0.00000;0.01081;0.00535
(a)>(b)>(d);0.02913;0.01087;0.01622;0.02632;0.00541;0.01075;0.01087
(a)>(b)>(e);0.02463;0.01075;0.01093;0.02094;0.00000;0.00546;0.01075
(a)>(c)>(d);0.03483;0.01630;0.02174;0.02646;0.01081;0.01075;0.01630
(a)>(c)>(e);0.02956;0.01093;0.01639;0.02128;0.01087;0.01613;0.01093
(a)>(d)>(e);0.02488;0.01622;0.01630;0.02128;0.01093;0.01622;0.01622
(b)>(c)>(d);0.02500;0.00543;0.00541;0.02604;0.00000;0.00529;0.00543
(b)>(c)>(e);0.02475;0.00546;0.00543;0.01596;0.00000;0.01081;0.00546
(b)>(d)>(e);0.01980;0.01099;0.01093;0.02151;0.00000;0.00000;0.01099
(c)>(d)>(e);0.02538;0.01087;0.01075;0.02128;0.00538;0.01075;0.01087
(a)>(b)>(c)>(d);0.03382;0.01081;0.01613;0.03093;0.01093;0.00535;0.01081
(a)>(b)>(c)>(e);0.02871;0.01070;0.01075;0.02094;0.00543;0.01081;0.01070
(a)>(b)>(d)>(e);0.02885;0.01081;0.01622;0.02105;0.01639;0.00543;0.01081
(a)>(c)>(d)>(e);0.02941;0.01622;0.01622;0.02618;0.01093;0.01075;0.01622
(b)>(c)>(d)>(e);0.02439;0.01087;0.01075;0.02618;0.00541;0.00535;0.01087
(a)>(b)>(c)>(d)>(e);0.01596;0.01105;0.01630;0.02151;0.00543;0.00541;0.01093
