network_order;average_v-1_a0;average_v0_a-1;average_v0_a0;average_v0_a1;average_v1_a0;bitwise_and;bitwise_or
(a);0.38418;0.38418;0.38418;inf;nan;0.38418;0.38418
(b);0.39383;0.39383;0.39383;inf;nan;0.39383;0.39383
(c);0.41037;0.41037;0.41037;inf;nan;0.41037;0.41037
(d);0.41096;0.41096;0.41096;inf;nan;0.41096;0.41096
(e);0.40606;0.40606;0.40606;inf;nan;0.40606;0.40606
(a)>(b);0.39016;0.39016;0.39016;0.38605;0.38227;0.38967;0.39016
(a)>(c);0.39961;0.39961;0.39961;0.39009;0.38959;0.39471;0.39961
(a)>(d);0.40937;0.40937;0.40937;0.37946;0.38436;0.38366;0.40937
(a)>(e);0.40294;0.40294;0.40294;0.38412;0.38513;0.38811;0.40294
(b)>(c);0.40053;0.40053;0.40053;0.39699;0.39238;0.40028;0.40053
(b)>(d);0.40757;0.40757;0.40757;0.39289;0.39354;0.39603;0.40757
(b)>(e);0.40303;0.40303;0.40303;0.39377;0.39259;0.39691;0.40303
(c)>(d);0.41708;0.41708;0.41708;0.39817;0.39752;0.40407;0.41708
(c)>(e);0.41150;0.41150;0.41150;0.40334;0.39711;0.40713;0.41150
(d)>(e);0.41809;0.41809;0.41809;0.39086;0.39513;0.39621;0.41809
(a)>(b)>(c);0.41160;0.35991;0.35832;0.37409;0.40126;0.41584;0.35991
(a)>(b)>(d);0.41761;0.37098;0.36785;0.37726;0.39168;0.40301;0.37098
(a)>(b)>(e);0.41536;0.36228;0.35778;0.37161;0.39618;0.41102;0.36228
(a)>(c)>(d);0.42519;0.36996;0.36260;0.37545;0.39726;0.41150;0.36996
(a)>(c)>(e);0.42043;0.36839;0.36260;0.37721;0.39987;0.41619;0.36839
(a)>(d)>(e);0.42099;0.37892;0.37355;0.38702;0.38738;0.39931;0.37892
(b)>(c)>(d);0.42799;0.36701;0.36319;0.37575;0.40582;0.42244;0.36701
(b)>(c)>(e);0.42451;0.36180;0.36058;0.37577;0.40931;0.42506;0.36180
(b)>(d)>(e);0.42390;0.37341;0.36782;0.38311;0.39903;0.41138;0.37341
(c)>(d)>(e);0.43331;0.37720;0.37641;0.38825;0.40568;0.41981;0.37720
(a)>(b)>(c)>(d);0.43786;0.36932;0.36271;0.36744;0.36047;0.43046;0.36932
(a)>(b)>(c)>(e);0.43563;0.36311;0.35594;0.36252;0.35874;0.43696;0.36311
(a)>(b)>(d)>(e);0.43450;0.37307;0.36583;0.37199;0.36490;0.41999;0.37307
(a)>(c)>(d)>(e);0.43969;0.37729;0.36801;0.37612;0.36360;0.42835;0.37729
(b)>(c)>(d)>(e);0.44596;0.37275;0.36795;0.37171;0.36401;0.43972;0.37275
(a)>(b)>(c)>(d)>(e);0.36707;0.36072;0.35720;0.36226;0.36600;0.44757;0.36591
